name,ra,dec,V,CaHK_0,CaHKerr,FeH_pris,FeH_FERRE,FeH_FERRE_err,temp_FERRE,temp_FERRE_err,logg_FERRE,logg_FERRE_err,C_Fe_FERRE,C_Fe_FERRE_err,q_flag,c_flag,prev_obs
P031.9938+27.7363,31.99383354,27.73633385,15.553,15.774,0.020,-3.30,-2.83,0.20,6477,106,4.9,0.5,-0.15,0.64,X,-1,nan
P032.5309+29.6142,32.53086090,29.61424446,16.173,16.310,0.021,-3.30,-3.07,0.21,5953,109,5.0,0.5,0.78,0.55,X,-1,nan
P036.7012+25.2772,36.70124054,25.27715302,16.282,17.031,0.021,-2.99,-2.53,0.22,5178,120,1.4,0.6,0.69,0.55,X,1,nan
P037.4427+30.1872,37.44273758,30.18723679,15.674,15.845,0.020,-2.86,-2.43,0.21,6357,114,4.7,0.5,-0.32,0.62,X,-1,nan
P039.3927+28.0769,39.39275742,28.07695770,15.933,16.251,0.020,-2.81,-2.22,0.21,5707,115,3.7,0.5,0.15,0.50,X,-1,SEGUE
P039.8636+29.0075,39.86358261,29.00754738,16.209,16.536,0.020,-3.33,-2.77,0.20,5597,107,3.7,0.5,0.38,0.44,X,-1,nan
P111.2676+35.8478,111.26768494,35.84780121,15.145,15.486,0.020,-2.60,-2.53,0.20,5869,102,4.4,0.5,0.03,0.40,X,-1,LAMOS;SEGUE
P111.5660+28.5699,111.56605530,28.56997299,15.593,15.902,0.021,-2.51,-2.67,0.20,6282,102,4.5,0.5,0.96,0.50,X,-1,nan
P111.7117+41.7800,111.71166229,41.77996826,14.859,15.437,0.020,-2.64,-2.45,0.20,5401,100,1.7,0.5,0.46,0.50,X,-1,nan
P111.8134+45.0668,111.81344604,45.06675339,15.834,16.400,0.021,-2.79,-2.79,0.21,5328,105,1.3,0.6,0.90,0.53,X,-1,nan
P111.8352+32.4690,111.83518219,32.46897125,16.062,17.022,0.021,-2.59,-2.24,0.21,5612,124,4.3,0.5,0.44,0.51,T,-1,nan
P111.8661+35.9196,111.86605072,35.91955948,16.378,16.609,0.021,-3.62,-2.39,0.20,6325,101,5.0,0.5,0.81,0.50,X,-1,nan
P111.8662+41.8612,111.86622620,41.86118698,15.123,15.348,0.020,-2.34,-2.58,0.22,6075,123,4.9,0.5,0.15,0.56,X,-1,nan
P112.0397+43.2007,112.03971100,43.20071793,16.426,17.784,0.022,-2.91,-2.66,0.20,5309,104,3.0,0.5,-0.19,0.51,X,-1,nan
P112.0671+28.6562,112.06711578,28.65628624,15.948,16.921,0.021,-2.56,-2.25,0.20,5265,103,3.0,0.5,0.12,0.50,X,-1,nan
P112.4934+26.8761,112.49337769,26.87611580,14.754,15.046,0.020,-2.36,-1.95,0.20,6406,106,4.5,0.5,-0.37,0.54,X,-1,nan
P112.5739+33.1071,112.57398987,33.10710907,15.279,15.786,0.020,-3.29,-2.91,0.20,5276,101,1.0,0.5,1.18,0.40,X,1,nan
P112.7118+43.2866,112.71184540,43.28662109,15.242,15.632,0.020,-2.32,-2.23,0.20,6094,104,4.5,0.5,0.12,0.31,X,-1,nan
P112.8035+45.8790,112.80352020,45.87900162,15.612,15.817,0.020,-2.82,-2.45,0.21,6133,113,4.8,0.5,-0.21,0.52,X,-1,nan
P112.8219+34.4359,112.82199860,34.43599319,15.369,15.679,0.020,-2.35,-2.00,0.20,6266,101,4.8,0.5,-0.49,0.47,X,-1,nan
P113.0149+42.5010,113.01488495,42.50100708,16.278,16.920,0.021,-2.76,-2.89,0.21,5257,113,3.3,0.5,0.35,0.50,T,-1,nan
P113.1412+27.2459,113.14122009,27.24590874,15.829,16.439,0.021,-2.67,-0.26,0.20,5644,100,3.4,0.5,-1.88,0.50,X,-1,nan
P113.2828+41.8880,113.28276062,41.88795090,15.415,15.708,0.020,-3.56,-0.95,0.20,6481,101,3.9,0.5,-0.96,0.40,X,-1,LAMOST
